#Firmware: Tuareg V0.2 2020.10
m,n
240.0,116.0
239.0,117.0
238.0,118.0
237.0,119.0
236.0,120.0
235.0,121.0
234.0,122.0
233.0,123.0
232.0,124.0
231.0,125.0
230.0,126.0
229.0,127.0
228.0,128.0
227.0,129.0
226.0,130.0
225.0,131.0
224.0,132.0
223.0,133.0
222.0,134.0
221.0,135.0
220.0,136.0
219.0,137.0
218.0,138.0
217.0,139.0
216.0,140.0
215.0,141.0
214.0,142.0
213.0,143.0
212.0,144.0
211.0,145.0
MARK 000
